year,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,site11,site12,site13,site14,site15,site16,site17,site18,site19,site20,site21,site22,site23,site24,site25,site26,site27,site28,site29,site30,site31,site32,site33,site34,site35,site36,site37,site38,site39,site40,site41,site42,site43,site44,site45,site46,site47,site48,site49,site50,site51,site52,site53,site54,site55,site56,site57,site58,site59,site60,site61,site62,site63,site64,site65,site66,site67,site68,site69,site70,site71,site72,site73,site74,site75,site76,site77,site78,site79,site80,site81,site82,site83,site84,site85,site86,site87,site88,site89,site90,site91,site92,site93,site94,site95,site96,site97,site98,site99,site100,site101,site102,site103,site104,site105,site106,site107,site108,site109,site110,site111,site112,site113,site114,site115,site116,site117
1850,-0.83865,-1.2033,0.059945,-0.45067,0.11762,-0.57297,-0.92105,-0.89916,-0.7864,NaN,NaN,NaN,0.017323,-0.56668,-0.27763,-0.39224,0.535,-0.198,0.21617,0.39166,NaN,NaN,0.087477,NaN,-0.86513,-5.0919,0.30522,-0.39183,0.080277,NaN,0.83017,-0.048926,-0.092704,0.092928,-0.39755,-0.91765,1.0479,-0.15222,0.54034,-1.7081,0.45031,0.4987,0.29535,1.0429,-0.1867,-0.35885,0.254,1.3195,0.11053,0.78381,-0.80768,0.30773,0.31832,NaN,-0.085647,-0.31387,0.27377,-0.16541,0.7683,-1.4717,-0.68868,-1.0384,0.55677,0.51294,-0.074335,-0.31871,0.23249,-0.96364,-0.67993,0.1706,-0.61534,-0.4933,0.64981,0.63203,-0.32715,-0.75872,NaN,-0.27502,-1.691,2.315,1.9569,3.7991,1.1246,2.8954,0.62806,0.91297,-1.2721,1.3747,0.36535,-0.81517,-1.7548,-1.418,-1.4742,-1.3425,1.1509,0.6658,1.0832,-0.18734,1.0175,2.1576,0.46136,-0.69548,0.25327,0.17421,0.96047,1.0605,0.70838,-0.84925,-0.25279,NaN,-0.78951,0.37519,2.6344,NaN,-0.030769,NaN,NaN
1851,-1.0534,-0.67596,-0.88351,-0.52064,-0.80112,-1.6639,-0.25793,-0.17946,-1.2047,NaN,NaN,NaN,-0.39361,0.59329,-0.35286,0.014206,3.4077,-0.55011,-1.9392,-0.54762,NaN,NaN,-1.7371,NaN,0.088522,-1.7277,-1.2303,-2.2094,-0.54895,NaN,-0.29522,-1.4749,0.30323,-0.78633,-0.83496,0.55382,-1.4535,-0.19277,-0.40548,0.50605,-1.13,-1.2209,-0.70058,-1.02,-0.60077,0.058184,-1.3683,1.3307,-1.4209,-0.26926,-0.27327,-1.6925,-1.7665,NaN,-1.956,-0.59989,-0.10392,-0.14394,-1.4602,-0.80916,-0.63669,0.15297,-2.1414,-1.0647,-1.5201,-1.0542,-0.7857,-0.59662,-1.5517,0.95927,-1.4056,-1.6951,-1.2378,0.25953,-1.2785,-1.3153,NaN,-1.1674,-0.43723,-1.6391,0.27233,-0.81196,-0.54476,-0.19022,-0.6667,-0.17398,1.0274,0.011384,-0.18491,0.75882,1.8685,1.5305,1.5561,1.5197,0.82218,-0.66136,0.72247,0.12325,0.2355,0.60516,-0.25896,-0.44965,0.63084,-0.46784,1.4438,1.8367,1.4995,1.3111,0.86323,NaN,0.054156,0.24819,1.0365,NaN,0.74681,NaN,NaN
1852,-0.2512,-0.38366,-0.52117,-1.2495,-1.2197,-1.8509,-1.2116,0.87699,-0.95241,NaN,NaN,NaN,0.2465,-0.43229,-0.91958,-0.26241,0.11931,0.5169,1.1971,2.2958,NaN,NaN,0.80205,NaN,0.89991,0.46227,-0.33577,-0.19506,0.2931,NaN,0.92842,-1.8267,-1.1815,-0.21697,0.057356,-2.1083,-0.90973,-1.3769,0.55056,-1.118,-0.48143,-1.3593,0.41101,-0.39797,-2.335,-1.548,-0.79988,-0.12252,-0.91814,-0.70028,-0.65429,1.6586,0.41585,NaN,-0.76867,-0.20264,-1.4081,-1.7255,-0.017698,-2.1687,-1.1774,-0.25429,-1.0402,-1.2076,-1.3522,0.203,-0.90873,-1.9513,-0.87658,-0.66331,-1.3805,0.12276,0.65549,-1.4167,0.54203,-0.97398,NaN,0.92747,-0.56316,0.8018,-1.4808,1.0819,-0.24372,1.795,0.33501,0.2671,1.0953,0.45421,0.58091,0.094728,0.02944,-0.25537,0.078916,0.87041,-2.5861,-0.60158,-0.87868,-0.19952,-0.14101,-0.43454,-0.12862,-0.0057885,1.2095,0.22007,-0.695,0.88406,0.84651,1.2986,0.72939,NaN,0.99934,-0.74509,-1.2653,NaN,-0.51274,NaN,NaN
1853,-0.023803,0.82566,1.2017,-0.31073,-0.17594,-0.0483,0.13363,0.51384,0.67444,NaN,NaN,NaN,0.23859,2.0008,1.7636,-0.46563,-1.7736,-1.4411,1.3068,0.14403,NaN,NaN,-0.68953,NaN,0.16755,0.79106,0.57288,-1.0857,2.6157,NaN,1.2589,-0.32099,-0.087494,0.81363,0.49477,0.45834,-0.089865,0.3993,0.92378,0.22207,-0.1005,-0.23264,-1.5487,0.17332,1.0255,-0.60118,-0.61042,1.2413,0.59007,0.37727,-0.45635,1.1735,1.3851,NaN,-0.73675,0.66601,1.401,-0.75224,0.55562,0.12872,0.070452,1.0222,-0.30436,0.33574,0.38591,0.528,-0.039025,0.82479,-0.073582,-1.3227,-0.0062671,0.65298,-0.43044,-1.2688,0.021892,0.69036,NaN,1.2754,1.26,1.4481,-0.60423,-0.1158,-1.3384,-1.336,0.22844,0.37737,0.981,-2.5933,0.97233,0.83645,1.1469,0.53557,0.97115,0.65482,0.32156,-0.18908,-0.46098,-1.1678,-2.2668,-0.51287,0.22125,-0.21748,0.70881,-0.22937,-0.40839,-1.7732,-1.4054,-1.263,-1.2566,NaN,0.18718,-0.80858,-0.14477,NaN,-1.4038,NaN,NaN
1854,-1.2745,-0.91095,-0.43229,-1.4186,-0.39883,-0.94179,-1.9568,-1.6057,-0.46103,NaN,NaN,NaN,-1.4842,0.89035,0.57496,-0.97934,-0.56361,-1.217,-0.029061,-0.47077,NaN,0.39173,-2.195,NaN,-0.39094,-0.0074265,-0.61752,-0.54718,-3.6442,NaN,-0.84005,-0.59304,-0.82726,-1.3557,-1.4882,-1.2209,-0.54163,-1.5878,-1.1621,-1.1757,-0.44025,-1.3494,1.0086,-0.39162,-1.1108,-0.80406,0.082301,-1.3577,-0.07509,-1.0872,-0.55532,-1.1103,-0.88867,NaN,-0.70484,-1.0289,0.037715,-0.37294,-0.67424,-0.4994,-0.14793,-0.71625,-1.2281,-0.60171,-0.54,-0.77201,-1.0148,-1.9246,-0.77825,0.43564,-1.2446,-0.048925,-0.49867,-0.0034101,0.34356,-0.62221,NaN,-1.5607,-0.49746,-1.4338,0.78302,0.58035,0.54992,-1.3133,1.3154,0.041312,0.66321,0.16132,0.52986,0.45696,-0.2385,-0.14078,0.10866,-0.23233,-0.81117,-0.44615,0.86803,-0.059448,-0.11784,0.9541,-0.44419,0.92291,0.093222,-0.055094,-0.12179,-0.1202,0.04704,0.67901,2.1757,NaN,-0.73,1.4501,-0.12455,NaN,0.63542,NaN,NaN
1855,0.34888,0.011804,-0.27505,0.2257,-0.072653,0.89194,0.15889,0.36857,-0.12902,NaN,NaN,NaN,0.63372,3.2881,1.5128,1.369,0.14158,-0.00060063,-0.25493,1.3651,NaN,1.0394,-0.48834,NaN,1.4163,0.67951,-1.3008,-1.4223,-2.3765,NaN,2.5718,1.6679,0.83461,-0.20256,0.83886,1.0705,2.2861,1.7132,0.74995,1.1716,-0.5638,2.3172,1.2849,1.4048,0.23936,1.6869,1.5802,2.0349,0.52819,1.2932,1.899,0.50925,0.2025,NaN,0.22076,2.2285,2.2921,1.9243,2.1276,1.6345,1.2144,0.5663,0.0035599,1.0045,0.47796,1.0155,0.33855,0.55118,1.4013,2.0582,1.821,1.7387,1.1899,0.21571,0.74051,2.297,NaN,0.36782,0.81653,0.95388,-0.74905,-0.77453,0.10521,-0.41711,1.2621,1.2805,0.69177,0.0078974,-0.12251,1.6299,2.1516,2.0532,1.0009,-0.67095,-0.48753,-1.9825,-0.10658,-2.9096,-0.96354,-1.93,-0.24524,-0.38819,0.30252,0.42186,-0.61372,-0.63047,-0.77754,0.092659,-0.00022873,0.79357,-0.43244,1.2868,2.8245,NaN,-0.10788,NaN,NaN
1856,0.45627,0.19521,-0.6579,0.085763,-0.26836,0.21663,-0.51055,-0.35773,-0.97897,NaN,NaN,NaN,0.53099,-0.75058,1.4175,-0.6124,0.59438,0.70896,0.1839,0.60513,NaN,-1.0345,0.14298,NaN,0.24132,1.0435,0.77715,-1.5518,-1.3077,NaN,-0.4024,-0.039545,-0.91583,0.79201,0.71056,-0.94012,-0.056401,0.21275,-1.6887,-0.35477,0.78491,-0.79597,0.19897,-1.1533,-1.3089,-1.593,-0.083477,-0.90501,-0.3922,-1.1313,0.42939,0.10622,-1.4007,NaN,-1.0176,-1.4526,0.7813,0.45005,-0.58177,-1.5233,0.6528,-1.5551,-0.71144,-0.26446,-0.52917,-0.37003,-0.73903,-0.81016,1.0801,0.71362,-2.1003,0.65298,0.25751,-0.7265,-1.0937,0.20208,NaN,-1.9086,-0.56316,-1.7379,-0.8329,-1.6728,-1.5163,0.74568,0.80389,-0.48378,0.31685,0.50303,1.3354,0.14216,0.23953,0.080013,0.60434,0.1939,-0.90219,0.45656,0.27947,-0.67454,-0.44222,-0.67666,0.029167,-1.4398,0.35177,0.55944,-0.54956,-0.96975,-0.30037,0.10098,0.10986,0.72403,1.703,-1.7701,0.00085729,NaN,-1.3332,NaN,NaN
1857,1.0816,0.56202,-0.15199,0.28984,-0.55649,-0.23531,1.3904,0.49403,-0.15558,NaN,NaN,NaN,-0.70971,0.21842,0.99122,0.20614,1.4703,-0.54477,0.48075,-0.53908,NaN,-1.0737,1.1628,NaN,1.7218,-0.46538,-0.19489,-1.355,0.82054,NaN,-3.2784,1.7664,1.1003,-0.93768,0.24398,0.45273,-2.608,0.13165,1.4401,0.63473,-0.58439,0.10832,2.0045,0.82078,-0.7928,1.9743,1.1539,0.1793,0.65968,0.62707,0.72133,-2.3493,-0.26079,NaN,0.20799,2.0643,-0.4108,-0.20119,-2.8843,-0.37033,-0.62629,-0.93508,2.2112,-0.30447,1.2793,0.16024,1.5561,0.11075,0.07063,-1.7106,-0.20258,0.24396,0.75783,0.12806,-1.4085,-0.31244,0.95051,-2.317,-0.40438,-0.81026,-1.557,-4.1355,0.37204,-0.41143,-0.81056,-0.76733,0.75248,0.063687,-2.0456,-0.34082,0.59881,0.28124,-0.21189,1.0117,0.33167,1.2457,0.93764,0.78706,0.75682,2.2146,-0.59512,1.0049,1.189,0.48607,0.049321,0.50678,0.072155,0.13424,0.33004,0.17938,-0.15238,1.0918,0.76543,NaN,-0.47632,NaN,NaN
1858,1.1006,0.20094,0.44963,0.6805,0.30789,0.25819,0.31046,0.16389,0.535,NaN,NaN,NaN,-1.9741,1.5694,0.37435,1.3916,2.2942,-1.0516,-0.70666,0.44289,NaN,-0.1251,2.2242,NaN,0.30981,-0.13072,-0.10332,-0.086316,0.97784,NaN,0.8391,1.1331,0.48036,0.96498,0.080684,0.51451,-0.048035,0.80482,0.2796,-0.19947,-0.61013,-0.044866,-0.79053,0.12254,-0.042682,0.94297,0.60924,0.60967,0.88397,-0.81293,0.20176,0.29281,-0.065722,NaN,-0.6793,-0.72171,-1.0305,0.13517,1.4803,-1.291,0.83999,0.019242,1.8302,0.70728,-0.27468,0.39116,0.29189,1.1251,-0.044084,0.71362,-0.37373,-0.70538,-0.68061,0.48413,-0.53247,-0.57496,0.096775,-0.84223,-0.22371,-1.046,0.68393,0.13122,1.0152,-1.4097,-0.95442,-1.2452,-0.25447,0.98073,-1.0301,-0.87554,-0.38769,-0.23021,-0.61835,-0.31906,-1.241,-4.5472,-2.4545,-4.3711,-2.8866,-5.7398,-0.46477,-1.351,-0.43208,-0.26147,-0.34423,-0.53004,-0.49291,-0.88668,-1.1292,1.0311,0.42523,-2.0876,-1.055,NaN,-0.062901,NaN,NaN
1859,-0.29542,-0.1716,-0.25454,0.73298,0.041511,-0.4379,-0.39687,-0.14644,-0.32823,NaN,NaN,NaN,0.45987,3.2032,-0.25256,2.6223,-0.91991,-1.5104,-0.22911,-0.77816,NaN,-0.059681,-1.4735,NaN,-1.0495,-0.0015553,-1.505,-0.57307,-1.081,NaN,1.6251,0.45298,2.038,0.17221,2.8976,1.9467,0.16111,2.0701,-0.068054,0.59035,-1.1146,-0.015217,0.97644,0.66844,0.28737,1.1797,1.2664,0.9059,2.0673,1.494,1.4141,0.86749,1.9215,NaN,-0.32183,-0.45688,-0.28687,1.1729,0.75906,0.24919,0.75679,1.8063,1.9241,1.5418,1.2848,2.307,1.9083,0.9716,0.53276,0.015455,0.13971,1.5872,0.4167,0.21571,1.028,0.77962,0.68782,-0.15401,0.082886,0.07181,-0.99296,2.6464,-0.04531,-0.42845,-0.26708,-0.25799,-1.4649,0.40191,0.27458,-0.62974,-1.9527,-1.1469,-0.97524,0.33763,0.25582,-0.51191,-1.0875,-0.84505,-1.7919,-1.5027,-3.1883,-0.55891,-0.57982,-0.44033,0.22898,0.056226,-0.18317,0.41287,0.79631,0.47199,-0.61797,-0.80405,-0.080049,NaN,0.59472,NaN,NaN
